s,ds,o,c,i,inv,size,roa
3570,374,799,599,6101,"44,949","2,300,000",5.4282
3571,376,809,599,6146,"44,435","2,200,000",6.4276
3570,386,813,599,5993,"44,269","2,200,000",3.2737
3561,400,800,597,6360,"43,783","2,300,000",5.1452
3522,415,735,660,5332,"43,046","2,300,000",7.1887
3465,442,667,655,6299,"44,469","2,300,000",7.5558
3407,470,639,647,6290,"45,141","2,200,000",8.2628
3288,508,407,632,6107,"44,858","2,200,000",8.0835
3158,561,286,620,6148,"43,803","2,200,000",8.7167
3029,629,210,611,5651,"40,714","2,200,000",8.4837
2907,708,189,609,4557,"36,437","2,100,000",8.8278
2747,803,158,596,4112,"32,713","2,100,000",8.7802
2612,891,153,602,3615,"34,511","2,100,000",8.4036
2447,971,132,591,3121,"35,159","2,100,000",8.1149
2256,1075,112,579,2757,"33,685","1,900,000",8.0409
1980,1209,100,567,2285,"31,910","1,800,000",8.2555
1713,1333,85,551,1587,"29,762","1,700,000",8.7238